label,feature
9,3:1 324:1.0 5569:1.0 21498:1.0 264:1.0 340:1.0 672:1.0 673:1.0 109507:1.0 109508:1.0 109509:1.0 109510:1.0 92:1.0 239:1.0 240:1.0 105:1.0 388:1.0 99:1.0 398:1.0 1343:1.0 16997:1.0 17373:1.0 17374:1.0 17375:1.0 1415:1.0 2006:1.0 2007:1.0 109533:1.0 109534:1.0 21524:1.0 21524:1.0 138343:0.5 138343:0.5 109602:1.0 109603:1.0 1116:0.5 1117:0.5 204:1.0 212:1.0 
4,9:1 347:1.0 678:1.0 109511:1.0 26:1.0 85:1.0 230:1.0 231:1.0 232:1.0 233:1.0 10406:1.0 22990:1.0 92:1.0 3152:1.0 19224:1.0 390:1.0 98:1.0 103:0.5 387:1.0 107:1.0 109:1.0 1962:1.0 71880:1.0 126378:1.0 126379:1.0 138318:1.0 1426:1.0 13515:1.0 138320:1.0 138321:1.0 138322:1.0 138323:1.0 109555:1.0 109555:1.0 19321:0.5 19321:0.5 138361:1.0 1575:0.5 1576:0.5 204:1.0 212:1.0 
5,4:1 236:1.0 237:1.0 238:1.0 26:1.0 85:1.0 1245:1.0 2523:1.0 6693:1.0 19220:1.0 19221:1.0 19222:1.0 92:1.0 2147:1.0 2162:1.0 100:1.0 379:1.0 2250:1.0 395:1.0 399:1.0 4197:1.0 4198:1.0 9517:1.0 19247:1.0 462:1.0 6271:1.0 6272:1.0 6273:1.0 9372:1.0 138327:1.0 138327:1.0 18422:0.5 18422:0.5 19345:1.0 19346:1.0 1116:0.5 1117:0.5 204:1.0 212:1.0 
18,5:1 236:1.0 2528:1.0 19223:1.0 26:1.0 85:1.0 1245:1.0 2140:1.0 2141:1.0 2158:1.0 2159:1.0 2160:1.0 92:1.0 2156:1.0 21505:1.0 380:1.0 684:1.0 102:0.6666666666666666 381:0.3333333333333333 11600:1.0 1991:1.0 19291:1.0 19291:1.0 21540:0.5 21540:0.5 11796:1.0 11797:1.0 6404:0.5 6405:0.5 765:1.0 643:1.0 
4,18:1 236:1.0 2145:1.0 2161:1.0 26:1.0 85:1.0 230:1.0 2149:1.0 2150:1.0 21502:1.0 21503:1.0 21504:1.0 44:1.0 377:1.0 9356:1.0 2251:1.0 106:1.0 404:1.0 2263:1.0 10704:1.0 21512:1.0 444:1.0 6543:1.0 11967:1.0 21519:1.0 11702:1.0 11702:1.0 9437:0.5 9437:0.5 21550:1.0 21551:1.0 197:0.5 198:0.5 204:1.0 642:1.0 
11,4:1 236:1.0 2154:1.0 30247:1.0 26:1.0 27:1.0 47:1.0 372:1.0 373:1.0 9353:1.0 9354:1.0 9355:1.0 2954:1.0 9369:1.0 9370:1.0 9371:1.0 5992:1.0 9388:1.0 9389:1.0 9390:1.0 105461:1.0 105461:1.0 9439:1.0 178:1.0 9451:1.0 9452:1.0 9453:0.5 9454:0.5 621:1.0 622:1.0 3082:1.0 9455:1.0 2134:1.0 
0,25:1 26:1.0 27:1.0 28:1.0 29:1.0 30:1.0 31:1.0 32:1.0 33:1.0 44:1.0 45:1.0 46:1.0 106:1.0 109:1.0 110:1.0 130:1.0 131:1.0 152:1.0 153:1.0 167:0.5 168:1.0 179:1.0 180:1.0 181:0.5 182:0.5 203:1.0 206:1.0 213:1.0 
1,0:1 34:1.0 35:1.0 36:1.0 26:1.0 27:1.0 28:1.0 37:1.0 38:1.0 39:1.0 40:1.0 41:1.0 44:1.0 55:1.0 56:1.0 96:1.0 111:1.0 112:1.0 113:1.0 114:1.0 115:1.0 116:1.0 117:1.0 118:1.0 119:1.0 120:1.0 132:1.0 133:1.0 134:1.0 135:1.0 136:1.0 137:1.0 138:1.0 139:1.0 140:1.0 141:1.0 154:1.0 155:1.0 156:1.0 169:0.5 169:0.5 170:1.0 184:1.0 204:1.0 205:1.0 207:1.0 214:1.0 
0,1:1 34:1.0 42:1.0 43:1.0 26:1.0 27:1.0 47:1.0 48:1.0 49:1.0 50:1.0 51:1.0 52:1.0 1858:1.0 1859:1.0 1860:1.0 95:1.0 1329:1.0 121:1.0 142:1.0 158:1.0 159:1.0 14793:0.5 2052:0.5 14794:1.0 187:1.0 188:1.0 189:0.5 190:0.5 14822:1.0 215:1.0 
10,0:1 34:1.0 53:1.0 54:1.0 57:1.0 1848:1.0 1849:1.0 1850:1.0 1851:1.0 1852:1.0 1853:1.0 1854:1.0 82:1.0 1868:1.0 49646:1.0 97:1.0 391:1.0 104:1.0 1332:1.0 109:1.0 1937:1.0 1938:1.0 1939:1.0 1976:1.0 1977:1.0 1978:1.0 1979:1.0 160:1.0 160:1.0 14776:1.0 49694:0.5 49694:0.5 73316:1.0 14813:1.0 2088:1.0 596:0.5 597:0.5 618:1.0 212:1.0 216:1.0 
3,10:1 1855:1.0 1856:1.0 1857:1.0 71:1.0 72:1.0 1304:1.0 1861:1.0 11095:1.0 49642:1.0 49643:1.0 49644:1.0 92:1.0 93:1.0 19375:1.0 1330:1.0 103:1.0 99:1.0 107:1.0 936:1.0 3497:1.0 10252:1.0 49650:1.0 49651:1.0 1407:1.0 1430:1.0 6855:1.0 7280:1.0 49657:1.0 14777:1.0 2021:1.0 73299:1.0 49720:1.0 49721:1.0 1116:0.5 1117:0.5 204:1.0 
4,3:1 79:1.0 1866:1.0 49645:1.0 26:1.0 85:1.0 86:1.0 87:1.0 19370:1.0 19371:1.0 19372:1.0 19373:1.0 1223:1.0 10002:1.0 12218:1.0 105:1.0 98:1.0 104:1.0 106:1.0 404:1.0 905:1.0 3756:1.0 78077:1.0 78078:1.0 7260:1.0 9537:1.0 73646:1.0 49670:1.0 49670:1.0 12324:0.5 12324:0.5 5116:0.5 5117:0.5 204:1.0 49736:1.0 
3,4:1 236:1.0 799:1.0 19374:1.0 57:1.0 1213:1.0 1214:1.0 9995:1.0 12213:1.0 12214:1.0 12215:1.0 12216:1.0 831:1.0 4724:1.0 4725:1.0 100:1.0 103:1.0 98:0.5 104:1.0 107:1.0 1372:1.0 6823:1.0 9908:1.0 12234:1.0 144:1.0 711:1.0 12260:1.0 12261:1.0 4863:0.5 4863:0.5 47718:1.0 12344:1.0 12345:1.0 197:0.5 198:0.5 204:1.0 774:1.0 212:1.0 1640:1.0 
3,3:1 1220:1.0 10000:1.0 12217:1.0 71:1.0 821:1.0 3600:1.0 4717:1.0 4718:1.0 4719:1.0 4720:1.0 4721:1.0 660:1.0 661:1.0 662:1.0 105:1.0 103:1.0 387:1.0 107:1.0 423:1.0 4772:1.0 703:1.0 1980:1.0 12296:1.0 12296:1.0 47691:1.0 729:0.5 729:0.5 48167:1.0 4904:1.0 4905:1.0 744:0.5 745:0.5 204:1.0 46931:1.0 212:1.0 
5,3:1 828:1.0 4722:1.0 4723:1.0 26:1.0 220:1.0 652:1.0 653:1.0 654:1.0 655:1.0 656:1.0 657:1.0 92:1.0 1253:1.0 8527:1.0 105:1.0 379:1.0 101:0.8571428571428571 381:0.7142857142857143 684:0.5714285714285714 98:0.42857142857142855 388:0.2857142857142857 103:0.14285714285714285 382:1.0 395:1.0 423:1.0 689:1.0 690:1.0 446:1.0 483:1.0 484:1.0 4828:1.0 4828:1.0 48133:1.0 8603:0.5 8603:0.5 41460:1.0 746:1.0 747:1.0 748:0.5 749:0.5 204:1.0 774:1.0 
6,5:1 227:1.0 658:1.0 659:1.0 26:1.0 85:1.0 1245:1.0 1246:1.0 8522:1.0 8523:1.0 8524:1.0 8525:1.0 92:1.0 93:1.0 19375:1.0 380:1.0 381:1.0 99:1.0 685:1.0 3247:1.0 8540:1.0 8541:1.0 2320:1.0 2337:1.0 8559:1.0 719:1.0 719:1.0 41453:1.0 68433:0.5 68433:0.5 8623:1.0 8624:1.0 748:0.5 749:0.5 204:1.0 68463:1.0 212:1.0 
4,6:1 236:1.0 1251:1.0 8526:1.0 26:1.0 85:1.0 86:1.0 87:1.0 19370:1.0 19371:1.0 19372:1.0 19373:1.0 350:1.0 351:1.0 352:1.0 383:1.0 98:1.0 389:1.0 107:1.0 109:1.0 420:1.0 6836:1.0 68371:1.0 444:1.0 3793:1.0 14773:1.0 68391:1.0 8586:1.0 8586:1.0 560:0.5 560:0.5 68451:1.0 68452:1.0 197:0.5 198:0.5 204:1.0 212:1.0 
9,4:1 236:1.0 799:1.0 19374:1.0 264:1.0 340:1.0 341:1.0 342:1.0 343:1.0 344:1.0 345:1.0 346:1.0 44:1.0 1906:1.0 18013:1.0 100:1.0 388:1.0 391:0.8571428571428571 683:0.7142857142857143 102:0.5714285714285714 98:0.42857142857142855 101:0.2857142857142857 103:0.14285714285714285 398:1.0 434:1.0 435:1.0 143:1.0 482:1.0 68413:1.0 68413:1.0 66626:0.5 66626:0.5 743:1.0 607:1.0 744:0.5 745:0.5 204:1.0 212:1.0 
18,9:1 347:1.0 348:1.0 349:1.0 26:1.0 27:1.0 278:1.0 1899:1.0 1900:1.0 18009:1.0 18010:1.0 18011:1.0 275:1.0 819:1.0 820:1.0 390:1.0 96:1.0 5222:1.0 9304:1.0 66545:1.0 66546:1.0 10283:1.0 18073:1.0 18074:1.0 66566:1.0 524:1.0 524:1.0 1077:0.5 1077:0.5 66644:1.0 66645:1.0 18179:0.5 18180:0.5 765:1.0 19634:1.0 
7,18:1 34:1.0 1904:1.0 18012:1.0 264:1.0 265:1.0 811:1.0 812:1.0 813:1.0 814:1.0 815:1.0 816:1.0 44:1.0 1321:1.0 2918:1.0 95:1.0 683:0.5 413:1.0 460:1.0 66600:1.0 66600:1.0 22674:0.5 22675:0.5 1118:1.0 1119:1.0 1120:0.5 190:0.5 
20,7:1 272:1.0 817:1.0 818:1.0 26:1.0 27:1.0 47:1.0 1314:1.0 1315:1.0 2914:1.0 14417:1.0 14418:1.0 44:1.0 1321:1.0 2918:1.0 97:1.0 397:1.0 109:1.0 2269:1.0 22617:1.0 22618:1.0 144:1.0 6843:1.0 22636:1.0 22637:1.0 1043:1.0 1043:1.0 22674:0.5 22675:0.5 22690:1.0 22691:1.0 596:0.5 597:0.5 618:1.0 642:1.0 
20,20:1 34:1.0 1319:1.0 2917:1.0 26:1.0 27:1.0 47:1.0 1314:1.0 1315:1.0 2914:1.0 14417:1.0 14418:1.0 275:1.0 296:1.0 297:1.0 96:1.0 397:1.0 109:1.0 2269:1.0 22617:1.0 22618:1.0 144:1.0 6843:1.0 22636:1.0 22637:1.0 22656:1.0 22657:1.0 545:0.5 545:0.5 22677:1.0 22690:1.0 22691:1.0 596:0.5 597:0.5 618:1.0 2134:1.0 
7,20:1 34:1.0 1319:1.0 2917:1.0 264:1.0 265:1.0 288:1.0 289:1.0 290:1.0 291:1.0 292:1.0 293:1.0 95:1.0 419:1.0 467:1.0 22656:1.0 22657:1.0 22658:1.0 7643:1.0 178:1.0 591:1.0 592:1.0 593:0.5 190:0.5 22703:1.0 5149:1.0 
20,25:1 26:1.0 27:1.0 47:1.0 1314:1.0 3132:1.0 3214:1.0 11370:1.0 11371:1.0 275:1.0 885:1.0 886:1.0 397:1.0 3247:1.0 8540:1.0 21739:1.0 144:1.0 468:1.0 1391:1.0 152:1.0 1099:0.5 1099:0.5 596:0.5 597:0.5 617:1.0 6934:1.0 213:1.0 
7,20:1 34:1.0 1319:1.0 3217:1.0 264:1.0 265:1.0 879:1.0 880:1.0 881:1.0 882:1.0 883:1.0 884:1.0 327:1.0 5339:1.0 51031:1.0 99:1.0 413:1.0 414:1.0 960:1.0 460:1.0 461:1.0 1029:1.0 120234:0.5 51110:0.5 120235:1.0 1141:1.0 1142:1.0 1143:0.5 1144:0.5 214:1.0 
3,7:1 272:1.0 6235:1.0 6236:1.0 71:1.0 317:1.0 1195:1.0 5332:1.0 6229:1.0 51027:1.0 51028:1.0 51029:1.0 82:1.0 4471:1.0 4472:1.0 98:1.0 104:1.0 107:1.0 429:1.0 430:1.0 431:1.0 3229:1.0 51039:1.0 51040:1.0 51041:1.0 51042:1.0 446:1.0 483:1.0 1388:1.0 1389:1.0 1390:1.0 51052:1.0 51053:1.0 51054:1.0 6338:1.0 6338:1.0 120221:1.0 4598:0.5 4598:0.5 120241:1.0 51124:1.0 6662:0.5 6663:0.5 618:1.0 212:1.0 215:1.0 
3,3:1 324:1.0 5337:1.0 51030:1.0 71:1.0 72:1.0 4463:1.0 4464:1.0 4465:1.0 4466:1.0 4467:1.0 4468:1.0 327:1.0 5919:1.0 5920:1.0 100:1.0 103:1.0 387:1.0 107:1.0 936:1.0 2273:1.0 4500:1.0 477:1.0 4523:1.0 4524:1.0 120222:1.0 51083:1.0 6044:0.5 6044:0.5 65672:1.0 4909:1.0 4639:1.0 748:0.5 749:0.5 204:1.0 212:1.0 216:1.0 
2,3:1 79:1.0 4469:1.0 4470:1.0 71:1.0 317:1.0 318:1.0 5906:1.0 5907:1.0 5908:1.0 5909:1.0 5910:1.0 92:1.0 841:1.0 2660:1.0 105:1.0 379:1.0 98:0.5 99:1.0 426:1.0 2570:1.0 4556:1.0 4556:1.0 65660:1.0 30960:0.5 30960:0.5 6081:1.0 6078:1.0 193:0.5 194:0.5 204:1.0 
3,2:1 324:1.0 5911:1.0 5912:1.0 26:1.0 85:1.0 86:1.0 834:1.0 1677:1.0 2656:1.0 7921:1.0 30831:1.0 350:1.0 11582:1.0 11583:1.0 380:1.0 98:1.0 103:0.5 389:1.0 685:1.0 423:1.0 2554:1.0 8542:1.0 30842:1.0 30843:1.0 148:1.0 11316:1.0 11317:1.0 30865:1.0 30866:1.0 6006:1.0 6006:1.0 11758:0.5 11758:0.5 90802:1.0 31014:1.0 1116:0.5 1117:0.5 204:1.0 212:1.0 
9,3:1 236:1.0 839:1.0 2659:1.0 264:1.0 340:1.0 341:1.0 11575:1.0 11576:1.0 11577:1.0 11578:1.0 11579:1.0 327:1.0 3676:1.0 3677:1.0 100:1.0 388:1.0 102:0.5 387:1.0 3771:1.0 11657:1.0 30903:1.0 30903:1.0 3899:0.5 3899:0.5 11804:1.0 11805:1.0 11806:0.5 190:0.5 205:1.0 
2,9:1 347:1.0 11580:1.0 11581:1.0 71:1.0 317:1.0 2231:1.0 3669:1.0 3670:1.0 3671:1.0 3672:1.0 3673:1.0 327:1.0 7941:1.0 22420:1.0 390:1.0 379:1.0 102:0.5 395:1.0 423:1.0 1940:1.0 444:1.0 3793:1.0 11713:1.0 11713:1.0 7888:1.0 3953:1.0 744:0.5 745:0.5 204:1.0 212:1.0 
10,2:1 324:1.0 3674:1.0 3675:1.0 71:1.0 317:1.0 353:1.0 7934:1.0 19927:1.0 22416:1.0 22417:1.0 22418:1.0 275:1.0 885:1.0 886:1.0 380:1.0 954:1.0 1363:1.0 47279:1.0 47280:1.0 462:1.0 7272:1.0 3849:1.0 3849:1.0 1099:0.5 1099:0.5 1575:0.5 1576:0.5 204:1.0 30042:1.0 
7,10:1 324:1.0 7939:1.0 22419:1.0 264:1.0 265:1.0 879:1.0 880:1.0 881:1.0 882:1.0 883:1.0 884:1.0 327:1.0 5919:1.0 5920:1.0 887:1.0 413:1.0 414:1.0 960:1.0 460:1.0 461:1.0 1029:1.0 19117:0.5 6044:0.5 121619:1.0 1141:1.0 1142:1.0 1143:0.5 1144:0.5 
2,7:1 272:1.0 6235:1.0 6236:1.0 71:1.0 317:1.0 318:1.0 5906:1.0 5907:1.0 5908:1.0 5909:1.0 5910:1.0 251:1.0 315:1.0 9619:1.0 101:1.0 98:0.5 104:1.0 426:1.0 2570:1.0 6338:1.0 6338:1.0 121593:1.0 9794:0.5 9794:0.5 138506:1.0 6077:1.0 6078:1.0 1558:0.5 1559:0.5 620:1.0 
3,2:1 324:1.0 5911:1.0 5912:1.0 71:1.0 241:1.0 242:1.0 308:1.0 9614:1.0 9615:1.0 9616:1.0 9617:1.0 251:1.0 8754:1.0 10009:1.0 682:1.0 103:1.0 1329:1.0 107:1.0 423:1.0 424:1.0 436:1.0 9648:1.0 144:1.0 961:1.0 9699:1.0 9700:1.0 6005:1.0 6006:1.0 138500:1.0 10042:0.5 10042:0.5 87259:1.0 9822:1.0 9823:1.0 197:0.5 198:0.5 204:1.0 212:1.0 
10,3:1 248:1.0 313:1.0 9618:1.0 71:1.0 241:1.0 330:1.0 8747:1.0 10004:1.0 10005:1.0 10006:1.0 10007:1.0 92:1.0 4955:1.0 28454:1.0 105:1.0 391:1.0 388:0.6666666666666666 888:0.3333333333333333 4039:1.0 4040:1.0 4041:1.0 957:1.0 10016:1.0 148:1.0 2564:1.0 9754:1.0 9754:1.0 87225:1.0 10054:1.0 10055:1.0 744:0.5 745:0.5 204:1.0 212:1.0 
6,10:1 248:1.0 8752:1.0 10008:1.0 26:1.0 85:1.0 254:1.0 4948:1.0 13759:1.0 28450:1.0 28451:1.0 28452:1.0 350:1.0 1930:1.0 1931:1.0 1330:1.0 389:1.0 106:1.0 399:1.0 24534:1.0 703:1.0 10031:1.0 10031:1.0 2078:0.5 2078:0.5 748:0.5 749:0.5 204:1.0 105537:1.0 
9,6:1 236:1.0 4953:1.0 28453:1.0 264:1.0 340:1.0 341:1.0 1923:1.0 1924:1.0 1925:1.0 1926:1.0 1927:1.0 660:1.0 661:1.0 662:1.0 388:1.0 391:0.75 683:0.5 101:0.25 387:1.0 398:1.0 434:1.0 1967:1.0 1415:1.0 2011:1.0 729:0.5 729:0.5 4612:1.0 2109:1.0 2110:1.0 744:0.5 745:0.5 204:1.0 212:1.0 
5,9:1 347:1.0 1928:1.0 1929:1.0 26:1.0 220:1.0 652:1.0 653:1.0 654:1.0 655:1.0 656:1.0 657:1.0 92:1.0 841:1.0 12884:1.0 390:1.0 379:1.0 101:0.8571428571428571 381:0.7142857142857143 684:0.5714285714285714 98:0.42857142857142855 388:0.2857142857142857 103:0.14285714285714285 99:1.0 395:1.0 423:1.0 689:1.0 690:1.0 446:1.0 483:1.0 484:1.0 2047:1.0 2047:1.0 4569:1.0 23203:0.5 23203:0.5 28486:1.0 746:1.0 747:1.0 748:0.5 749:0.5 204:1.0 121871:1.0 774:1.0 
4,5:1 227:1.0 658:1.0 659:1.0 26:1.0 85:1.0 86:1.0 834:1.0 1917:1.0 12880:1.0 23120:1.0 23121:1.0 44:1.0 1321:1.0 3202:1.0 380:1.0 98:1.0 103:0.5 106:1.0 423:1.0 1340:1.0 1341:1.0 23129:1.0 23130:1.0 1426:1.0 18059:1.0 23143:1.0 23144:1.0 23145:1.0 719:1.0 719:1.0 28473:1.0 3377:0.5 3377:0.5 23229:1.0 23230:1.0 1116:0.5 1117:0.5 204:1.0 43980:1.0 212:1.0 
20,4:1 236:1.0 839:1.0 12883:1.0 26:1.0 27:1.0 47:1.0 1314:1.0 3197:1.0 3198:1.0 3199:1.0 3200:1.0 44:1.0 3203:1.0 3204:1.0 100:1.0 396:1.0 1372:1.0 3241:1.0 3242:1.0 984:1.0 2302:1.0 3285:1.0 23168:1.0 23168:1.0 3379:0.5 3380:0.5 3381:1.0 3425:1.0 3426:1.0 748:0.5 749:0.5 204:1.0 
0,20:1 34:1.0 1319:1.0 3201:1.0 26:1.0 27:1.0 28:1.0 29:1.0 30:1.0 31:1.0 32:1.0 33:1.0 44:1.0 45:1.0 46:1.0 106:1.0 109:1.0 110:1.0 130:1.0 131:1.0 3333:1.0 3333:1.0 3334:1.0 167:0.5 168:1.0 179:1.0 180:1.0 181:0.5 182:0.5 619:1.0 3464:1.0 
1,0:1 34:1.0 35:1.0 36:1.0 26:1.0 27:1.0 28:1.0 37:1.0 38:1.0 39:1.0 40:1.0 41:1.0 44:1.0 55:1.0 56:1.0 96:1.0 111:1.0 112:1.0 113:1.0 114:1.0 115:1.0 116:1.0 117:1.0 118:1.0 119:1.0 120:1.0 132:1.0 133:1.0 134:1.0 135:1.0 136:1.0 137:1.0 138:1.0 139:1.0 140:1.0 141:1.0 154:1.0 155:1.0 156:1.0 169:0.5 169:0.5 170:1.0 184:1.0 2112:0.5 2113:0.5 204:1.0 205:1.0 207:1.0 
0,1:1 34:1.0 42:1.0 43:1.0 26:1.0 27:1.0 47:1.0 48:1.0 49:1.0 50:1.0 51:1.0 52:1.0 68:1.0 69:1.0 70:1.0 95:1.0 387:1.0 121:1.0 142:1.0 158:1.0 159:1.0 1504:0.5 171:0.5 172:1.0 187:1.0 188:1.0 189:0.5 190:0.5 208:1.0 
2,0:1 34:1.0 53:1.0 54:1.0 57:1.0 58:1.0 59:1.0 60:1.0 61:1.0 62:1.0 63:1.0 64:1.0 1223:1.0 7783:1.0 7784:1.0 97:1.0 379:1.0 98:0.8 101:0.6 684:0.4 102:0.2 122:1.0 143:1.0 160:1.0 160:1.0 161:1.0 7863:0.5 7863:0.5 9428:1.0 1557:1.0 192:1.0 1558:0.5 1559:0.5 620:1.0 53460:1.0 
3,2:1 65:1.0 66:1.0 67:1.0 57:1.0 1213:1.0 7775:1.0 7776:1.0 7777:1.0 7778:1.0 7779:1.0 7780:1.0 92:1.0 841:1.0 2660:1.0 380:1.0 99:1.0 107:1.0 109:1.0 123:1.0 7806:1.0 7807:1.0 477:1.0 478:1.0 1394:1.0 7822:1.0 1445:1.0 162:1.0 9406:1.0 30960:0.5 30960:0.5 7884:1.0 7885:1.0 197:0.5 198:0.5 204:1.0 
3,3:1 1220:1.0 7781:1.0 7782:1.0 26:1.0 85:1.0 86:1.0 834:1.0 1677:1.0 2656:1.0 7921:1.0 30831:1.0 350:1.0 680:1.0 681:1.0 98:1.0 103:0.5 389:1.0 685:1.0 423:1.0 2554:1.0 8542:1.0 30842:1.0 30843:1.0 148:1.0 11316:1.0 11317:1.0 30865:1.0 30866:1.0 7844:1.0 7844:1.0 733:0.5 733:0.5 90802:1.0 31014:1.0 1116:0.5 1117:0.5 204:1.0 212:1.0 
9,3:1 236:1.0 839:1.0 2659:1.0 264:1.0 340:1.0 672:1.0 673:1.0 674:1.0 675:1.0 676:1.0 677:1.0 251:1.0 8754:1.0 8755:1.0 100:1.0 388:1.0 683:0.75 381:0.5 391:0.25 1329:1.0 398:1.0 697:1.0 698:1.0 699:1.0 700:1.0 144:1.0 711:1.0 712:1.0 713:1.0 30903:1.0 30903:1.0 8827:0.5 8827:0.5 754:1.0 755:1.0 197:0.5 198:0.5 204:1.0 
10,9:1 347:1.0 678:1.0 679:1.0 71:1.0 241:1.0 330:1.0 8747:1.0 8748:1.0 8749:1.0 8750:1.0 8751:1.0 92:1.0 3152:1.0 37912:1.0 390:1.0 391:1.0 382:1.0 398:1.0 957:1.0 8764:1.0 8765:1.0 446:1.0 1420:1.0 8775:1.0 723:1.0 723:1.0 37981:0.5 37981:0.5 8853:1.0 8854:1.0 748:0.5 749:0.5 204:1.0 212:1.0 
6,10:1 248:1.0 8752:1.0 8753:1.0 26:1.0 85:1.0 1245:1.0 2523:1.0 2524:1.0 37908:1.0 37909:1.0 37910:1.0 92:1.0 239:1.0 20646:1.0 1330:1.0 381:1.0 379:0.8333333333333334 391:0.6666666666666666 98:0.5 392:0.3333333333333333 103:0.16666666666666666 99:1.0 106:1.0 399:1.0 409:1.0 20647:1.0 37913:1.0 444:1.0 1985:1.0 6741:1.0 37929:1.0 8802:1.0 8802:1.0 40430:0.5 40430:0.5 38013:1.0 38014:1.0 197:0.5 198:0.5 204:1.0 
